date,supplier name,item description,item sku,cost center,category,gl code,unit cost,quantity,total cost,currency,mappable,naics,unspsc,co2e,confidence
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Women's Short Sleeve Shirt,,PS - POLICE BUREAU,,,,,$152.49 ,USD,1,4239,53102700,0.24,
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.","Full Catalog, % Discount",,PS - POLICE BUREAU,,,,,$44.46 ,USD,1,4239,53102700,0.07,5
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Rhodium Hat Badge,,PS - POLICE BUREAU,,,,,"$1,959.72 ",USD,1,4239,53102700,3.13,
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Men's Navy Blue Patrol Pants,,PS - POLICE BUREAU,,,,,$272.00 ,USD,1,4239,53102700,0.43,
1/1/2021,"AMAZON SERVICES, LLC.",Operational Supplies,,ARAD-PARKS,,,,,$31.71 ,USD,1,33994,90100000,0.01,
1/1/2021,"AMAZON SERVICES, LLC.",Operational Supplies,,ARAD-PARKS,,,,,$56.97 ,USD,1,33994,90100000,0.02,
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Softshell Liner Jacket,,PS - POLICE BUREAU,,,,,$108.75 ,USD,1,4239,53102700,0.17,
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Duty Jacket,,PS - POLICE BUREAU,,,,,$139.95 ,USD,1,4239,53102700,0.22,
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Men's Navy Long Sleeve Shirt,,PS - POLICE BUREAU,,,,,$150.24 ,USD,1,4239,53102700,0.24,5
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Men's Short Sleeve Shirt,,PS - POLICE BUREAU,,,,,$158.61 ,USD,1,4239,53102700,0.25,
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Shoulder Patches,,PS - POLICE BUREAU,,,,,$31.50 ,USD,1,4239,53102700,0.05,
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Shoulder Patches,,PS - POLICE BUREAU,,,,,$31.50 ,USD,1,4239,53102700,0.05,
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.","Full Catalog, % Discount",,PS - POLICE BUREAU,,,,,$14.00 ,USD,1,4239,53102700,0.02,
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.","Full Catalog, % Discount",,PS - POLICE BUREAU,,,,,$5.00 ,USD,1,4239,53102700,0.01,5
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Panel Set,,PS - POLICE BUREAU,,,,,$34.80 ,USD,1,4239,53102700,0.06,5
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Gold Hat Badge,,PS - POLICE BUREAU,,,,,$69.99 ,USD,1,4239,53102700,0.11,4
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.","Navy Tie (20"")",,PS - POLICE BUREAU,,,,,$5.95 ,USD,1,4239,53102700,0.01,4
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Plain Leather Garrison Belt,,PS - POLICE BUREAU,,,,,$19.99 ,USD,1,4239,53102700,0.03,5
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Expansion Hat Strap,,PS - POLICE BUREAU,,,,,$9.99 ,USD,1,4239,53102700,0.02,5
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Men's Navy Blue Patrol Pants,,PS - POLICE BUREAU,,,,,$272.00 ,USD,1,4239,53102700,0.43,5
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.","Full Catalog, % Discount",,PS - POLICE BUREAU,,,,,$40.00 ,USD,1,4239,53102700,0.06,5
1/1/2021,WITMER ASSOCIATES INC (E PAY),Additional Items,,PS - POLICE BUREAU,,,,,"$4,140.00 ",USD,1,332994,46101600,1.19,5
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Summer Britches,,PS - POLICE BUREAU,,,,,$349.00 ,USD,1,4239,53102700,0.56,5
1/1/2021,STAPLES ADVANTAGE,Office Supplies,,MOBILITY AND INFRASTRUCTURE,,,,,$73.84 ,USD,1,33994,90100000,0.03,5
1/1/2021,STAPLES ADVANTAGE,Office Supplies,,MOBILITY AND INFRASTRUCTURE,,,,,$14.26 ,USD,1,33994,90100000,0.01,5
1/1/2021,STAPLES ADVANTAGE,Office Supplies,,MOBILITY AND INFRASTRUCTURE,,,,,$63.11 ,USD,1,33994,90100000,0.03,5
1/1/2021,STAPLES ADVANTAGE,Office Supplies,,MOBILITY AND INFRASTRUCTURE,,,,,$1.80 ,USD,1,33994,90100000,0,5
1/1/2021,STAPLES ADVANTAGE,Office Supplies,,MOBILITY AND INFRASTRUCTURE,,,,,$6.50 ,USD,1,33994,90100000,0,5
1/1/2021,STAPLES ADVANTAGE,Office Supplies,,MOBILITY AND INFRASTRUCTURE,,,,,$9.12 ,USD,1,33994,90100000,0,5
1/1/2021,STAPLES ADVANTAGE,Office Supplies,,MOBILITY AND INFRASTRUCTURE,,,,,$7.88 ,USD,1,33994,90100000,0,5
1/1/2021,STAPLES ADVANTAGE,Office Supplies,,MOBILITY AND INFRASTRUCTURE,,,,,$47.73 ,USD,1,33994,90100000,0.02,5
1/1/2021,STAPLES ADVANTAGE,Office Supplies,,MOBILITY AND INFRASTRUCTURE,,,,,$13.13 ,USD,1,33994,90100000,0.01,5
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Duty Jacket,,PS - POLICE BUREAU,,,,,$134.95 ,USD,1,4239,53102700,0.22,
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Softshell Liner Jacket,,PS - POLICE BUREAU,,,,,$103.75 ,USD,1,4239,53102700,0.17,
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Shoulder Patches,,PS - POLICE BUREAU,,,,,$4.50 ,USD,1,4239,53102700,0.01,
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Printed/embroidered Items,,PS - POLICE BUREAU,,,,,$2.25 ,USD,1,4239,53102700,0,
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Printed/embroidered Items,,PS - POLICE BUREAU,,,,,$7.00 ,USD,1,4239,53102700,0.01,
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Printed/embroidered Items,,PS - POLICE BUREAU,,,,,$9.10 ,USD,1,4239,53102700,0.01,5
1/1/2021,JOHNSTONE SUPPLY/E-PAY,HVAC,,BUREAU OF FACILITIES,,,,,"$1,133.67 ",USD,1,23822,40100000,0.29,
1/1/2021,JOHNSTONE SUPPLY/E-PAY,HVAC,,BUREAU OF FACILITIES,,,,,$409.59 ,USD,1,23822,40100000,0.1,
1/1/2021,"PITTSBURGH PUBLIC SAFETY SUPPLY, INC.",Men's Short Sleeve Shirt,,PS - POLICE BUREAU,,,,,$152.49 ,USD,1,4239,53102700,0.24,5
1/1/2021,PREMIER SAFETY,Personal Protective Equipment,,PEMA AND HOMELAND SECURITY TF,,,,,$320.00 ,USD,1,56162,46180000,0.51,4
1/1/2021,PREMIER SAFETY,Personal Protective Equipment,,PEMA AND HOMELAND SECURITY TF,,,,,$320.00 ,USD,1,56162,46180000,0.51,4
1/1/2021,PREMIER SAFETY,Personal Protective Equipment,,PEMA AND HOMELAND SECURITY TF,,,,,$338.00 ,USD,1,56162,46180000,0.54,4
1/1/2021,PREMIER SAFETY,Personal Protective Equipment,,PEMA AND HOMELAND SECURITY TF,,,,,$358.00 ,USD,1,56162,46180000,0.57,4
1/1/2021,STAPLES ADVANTAGE,Office Supplies,,CIVILIAN REVIEW BOARD,,,,,$139.93 ,USD,1,33994,90100000,0.06,4
1/1/2021,PRO-AM SAFETY,Public Safety Oper Supplies,,HAZARDOUS MATERIAL RESPONSE EQ,,,,,$409.50 ,USD,1,56162,,0.65,4
1/1/2021,PRO-AM SAFETY,Public Safety Oper Supplies,,HAZARDOUS MATERIAL RESPONSE EQ,,,,,$266.00 ,USD,1,56162,,0.43,4
1/1/2021,ALLEGHENY CITY ELECTRIC,Journeyman Electrician,,BUREAU OF FACILITIES,,,,,"$4,032.00 ",USD,1,81,72150000,0.52,4
